year	player	age	g	mp	per	ts	3par	ftr	orb	drb	trb	ast	stl	blk	tov	usg	ows	dws	ws	ws_48	obpm	dbpm	bpm	vorp	game_win	mvp_label
1986	Ralph Sampson	25	79	2864	16.9	0.516	0.012	0.294	9.6	23.6	16.5	13.5	1.6	2.5	16.5	23.6	1.1	4	5	0.084	-0.1	1.7	1.6	2.6	51	0
1986	Rodney McCray	24	82	2610	13.6	0.583	0.005	0.353	6.5	15.1	10.7	13.6	0.9	1.2	15.2	12.8	4.2	2.1	6.3	0.115	0.5	0.8	1.3	2.2	51	0
1986	Hakeem Olajuwon	23	68	2467	24.2	0.56	0	0.453	14.4	19.8	17.1	8	2.5	5.2	12	25.6	5.3	4.2	9.5	0.186	2.6	2.4	4.9	4.3	51	0
1986	Lewis Lloyd	26	82	2444	17.7	0.567	0.013	0.211	6.8	7.5	7.1	17.3	1.9	0.5	13.7	22.6	4.5	1.8	6.3	0.124	2.2	-0.8	1.5	2.1	51	0
1986	Robert Reid	30	82	2157	13.7	0.506	0.037	0.243	3.3	11.8	7.5	13.5	2	0.4	9	19.4	2.5	1.9	4.4	0.098	-0.4	-0.5	-0.9	0.6	51	0
1986	John Lucas	32	65	2120	17.4	0.53	0.178	0.364	1.7	5.7	3.6	34.6	1.7	0.1	13.6	20.2	4.5	1.2	5.7	0.13	2	-2.9	-0.9	0.6	51	0
1986	Jim Petersen	23	82	1664	10.8	0.525	0.007	0.389	9.5	16.2	12.8	6.1	1.1	1.8	14.9	13.3	1.4	1.6	2.9	0.085	-1.5	0.4	-1.1	0.4	51	0
1986	Mitchell Wiggins	26	78	1198	12.6	0.491	0.025	0.241	7.7	6.6	7.2	11	2.3	0.2	10.3	19.7	1.1	0.9	2	0.079	-0.5	-1.1	-1.7	0.1	51	0
1986	Allen Leavell	28	74	1190	15.6	0.553	0.146	0.345	0.5	5.6	3	25.4	2.3	0.4	14.3	20.2	2.1	0.9	3	0.122	0.2	-2.8	-2.6	-0.2	51	0
1986	Steve Harris	22	57	482	14	0.5	0.021	0.232	5.5	7.2	6.4	14.1	2	0.5	11.7	23.6	0.4	0.4	0.8	0.078	-1.2	-2.2	-3.4	-0.2	51	0
1986	Hank McDowell	26	22	204	10.3	0.613	0.024	0.595	6.3	19.8	12.9	3.5	0.2	0.8	15.9	12.1	0.2	0.2	0.4	0.094	-2.6	-1.9	-4.6	-0.1	51	0
